log(wage),educ,exper,exp+tenure
3.041392685,14,11,19
3.053078443,12,18,20
2.814247596,12,14,18
2.790988475,12,6,8
2.983175072,16,7,21
2.723455672,13,14,25
2.912222057,12,16,30
2.983175072,16,8,17
2.924279286,12,19,34
2.937517892,16,7,11
3.380934463,14,1,2
3.051538391,12,16,18
3.064457989,12,8,16
2.859138297,12,15,20
3.249931757,16,14,27
3.279438788,18,13,18
3.004321374,18,7,21
2.98721923,17,5,16
2.720159303,12,9,11
2.720159303,12,12,25
2.826074803,12,10,13
2.698970004,12,19,23
3.024485668,14,14,29
2.740362689,12,18,33
2.698970004,12,14,15
2.861534411,15,10,15
2.937016107,12,6,14
3.033825694,13,8,10
3.115277591,17,9,18
2.759667845,13,6,7
2.794488047,16,7,8
2.711807229,13,8,18
3.104828404,18,14,18
2.995635195,13,13,22
2.77815125,12,16,22
3.064457989,12,17,19
2.698970004,12,11,20
2.900367129,12,17,35
2.698970004,11,20,23
2.86923172,10,23,36
3.096910013,16,10,17
3.006037955,16,13,22
3.096910013,13,13,16
2.960470778,14,4,17
3.12904506,16,9,17
2.648360011,10,19,19
2.423245874,12,18,20
3.096910013,14,7,8
3.206015877,13,7,16
3.161966616,16,12,27
3.14332713,12,14,22
2.914343157,16,8,10
2.899820502,16,9,16
2.698970004,13,10,11
2.716003344,18,6,9
3.238046103,18,12,24
3.284205068,18,9,19
3.062581984,18,10,12
3.33485569,15,9,13
2.965201701,14,8,15
3.047274867,16,12,25
2.652246341,12,7,9
3.176091259,12,10,21
2.916980047,14,20,23
2.971739591,12,16,24
2.990338855,12,19,34
3.013258665,14,14,26
3.104487111,12,10,11
3.055378331,14,16,28
2.903089987,12,19,31
3.126780577,12,8,17
3.026533265,12,14,26
2.970811611,12,10,16
2.907411361,12,18,31
2.574031268,10,12,14
2.729974286,12,14,22
3.034227261,12,11,15
2.968482949,14,10,11
3.062581984,17,13,17
2.738780558,11,7,7
2.793790385,16,12,13
2.924795996,16,10,11
2.88592634,18,7,22
2.768638101,17,8,13
3.284205068,16,17,35
3.024485668,12,7,10
2.620136055,12,7,8
3.079904468,16,6,12
3.062205809,14,18,20
3.029383778,13,4,13
3.079904468,14,10,21
2.851869601,18,13,16
3.079904468,14,6,11
2.929418926,12,7,10
3,16,13,24
2.69019608,18,7,15
3,14,15,19
2.937016107,16,11,15
3.138302698,13,3,6
3.200303183,16,16,28
3.204662512,15,14,28
3.488268615,14,12,25
2.953276337,16,7,16
2.957128198,14,16,18
2.978636948,13,10,20
2.756636108,13,10,11
2.648360011,12,15,28
2.460897843,12,9,9
3.159567193,16,12,27
2.983175072,12,19,40
3.031408464,12,17,27
2.958563883,11,17,22
3.096910013,12,14,33
2.792391689,11,10,15
3.006893708,10,14,29
2.903089987,10,21,35
3.021189299,16,7,25
3.033021445,12,18,27
2.815577748,17,12,25
2.892651034,12,8,18
3.016197354,15,8,10
3.284205068,16,16,30
3.079904468,15,15,32
2.823474229,15,8,10
2.956648579,14,11,25
2.949390007,12,6,14
2.912222057,16,10,17
2.909556029,12,10,12
2.761175813,14,6,8
2.878521796,14,9,11
3.004751156,12,20,27
3.062581984,12,14,15
3.010723865,12,12,19
3.130333768,12,17,29
3.000434077,12,20,42
2.900913068,13,16,31
3.089905111,13,11,23
2.877371346,12,13,14
2.853698212,12,17,18
3,15,8,11
3.315340477,16,12,25
2.959994838,16,11,16
2.77815125,12,8,13
2.978180517,11,13,14
2.851869601,16,8,13
3.061075324,12,18,27
3,12,9,14
2.924795996,12,15,25
2.602059991,12,12,15
3.070037867,12,17,31
3.079904468,12,18,20
3.15896526,12,16,33
2.730782276,18,5,6
2.892651034,11,13,23
2.875061263,10,13,22
2.924795996,18,13,14
2.84509804,13,14,15
3.12904506,16,9,13
2.903089987,12,16,28
3.096910013,16,9,19
3.043362278,16,5,13
2.67669361,14,12,13
2.881954971,15,6,10
2.983175072,12,18,37
2.857935265,13,9,18
2.903089987,9,18,31
2.818225894,16,11,20
3.103803721,14,4,20
3.118264726,12,11,18
2.915927212,12,19,34
3.15896526,16,6,13
3.146128036,17,7,10
3.016197354,12,20,25
2.824776462,12,11,23
3.041392685,12,18,28
3,14,9,16
2.718501689,13,9,11
3.045714059,14,13,26
2.983175072,16,6,10
2.862727528,18,6,19
2.838849091,12,9,14
3.004321374,11,15,22
2.77815125,11,7,9
2.77524626,12,16,33
2.929418926,12,11,12
2.826074803,12,9,11
2.899273187,12,17,35
3.15896526,17,14,21
2.826074803,12,14,22
2.942504106,16,10,18
2.924795996,18,13,15
2.989004616,13,8,8
3.087426457,12,7,10
2.959041392,12,16,21
2.726727209,15,8,10
2.875061263,12,15,26
3.081347308,12,16,20
2.872156273,13,17,18
2.954242509,12,15,16
3.068185862,14,9,23
2.73239376,12,12,15
2.740362689,16,15,16
2.788875116,14,9,13
2.958563883,13,6,8
2.88592634,12,18,30
2.992995098,13,17,35
2.920645001,12,15,27
2.943988875,12,17,27
3.011570444,12,16,23
3,16,10,11
2.667452953,13,10,11
3.041392685,13,21,33
2.80685803,14,9,9
3.01494035,12,21,35
3.08350262,14,9,12
2.977723605,12,11,17
2.972202838,12,19,39
3.096910013,16,8,16
2.767897616,18,6,16
2.840733235,12,7,13
2.749736316,12,18,30
2.574031268,12,12,17
2.828015064,12,7,18
2.815577748,17,1,14
2.840106094,12,17,24
3.045714059,14,10,11
3.136086097,16,11,12
3.107888025,18,7,20
3.096910013,11,19,23
3.12904506,15,15,22
3.153509989,17,15,27
2.931457871,16,8,13
2.948412966,15,9,14
3.06483222,12,5,15
2.765668555,16,9,9
3.100370545,12,5,8
2.976349979,18,8,21
3.267171728,11,14,29
3.197280558,12,13,15
2.879669206,16,10,18
3.15896526,12,19,34
2.689308859,13,20,24
3.051538391,12,5,5
3,12,12,17
2.698970004,12,13,24
3.079181246,12,13,22
2.752048448,10,15,18
3.283301229,12,13,15
2.835056102,14,7,14
2.888740961,12,20,24
2.367355921,16,7,11
2.989004616,13,12,22
3.135450699,12,13,14
3.329804522,16,16,19
2.84509804,16,10,11
3.079181246,12,16,27
3.06483222,13,16,34
2.862727528,11,16,31
2.875061263,11,17,19
3.011147361,12,4,20
3.045714059,15,11,14
2.795880017,12,12,20
3.079181246,16,11,16
3.187802639,12,8,9
3.062205809,16,12,21
2.491361694,13,10,10
2.785329835,12,14,18
3.242789809,12,16,33
3,16,9,10
2.544068044,12,14,15
2.883661435,12,17,35
2.897627091,12,15,17
2.912753304,12,16,33
2.678518379,9,12,13
2.972202838,14,15,16
3.322012439,16,10,14
2.544068044,12,14,17
2.973127854,12,13,13
3.079904468,15,11,19
2.653212514,15,9,13
3.024485668,16,16,29
3,11,15,30
2.50242712,12,16,21
2.745074792,11,13,22
2.981365509,12,11,20
2.997823081,9,22,35
3.204119983,14,16,21
2.782472624,18,6,11
2.7084209,12,13,14
3.149527014,16,11,23
3.12904506,16,15,26
3.182414652,12,15,31
3.031408464,14,9,19
3.079181246,12,11,22
3.13893394,16,15,16
2.941511433,13,8,10
2.795880017,13,11,20
3.096910013,12,17,19
3.034227261,13,20,32
2.840733235,11,18,21
2.861534411,12,11,22
2.788875116,15,16,31
2.960470778,16,5,12
2.946452265,17,4,14
2.843855423,12,10,14
2.903089987,12,17,35
2.909556029,16,9,12
3,11,16,30
2.739572344,12,11,14
3.113943352,12,13,28
2.965201701,16,9,17
3.18723862,12,15,30
2.857935265,12,11,20
2.911157609,12,15,29
2.77815125,12,20,22
3.041392685,12,18,25
3.024485668,12,18,37
2.983175072,12,15,16
2.636487896,12,5,14
2.973127854,11,9,11
3.15136985,16,9,19
3,12,11,20
2.698970004,13,14,19
2.903089987,14,8,13
2.88422877,12,17,35
2.875061263,14,12,22
2.740362689,12,15,17
2.900367129,11,16,20
2.859138297,12,12,22
3.016615548,14,12,20
2.301029996,10,11,26
2.602059991,10,12,13
2.759667845,11,17,18
2.929418926,11,16,21
2.705863712,12,16,17
3.065206128,12,11,15
3.078819183,13,13,18
3.103803721,16,8,12
2.544068044,16,5,8
2.983626287,14,9,18
3.165244326,15,14,25
2.904174368,12,13,25
2.807535028,12,12,19
2.875639937,13,9,11
2.688419822,17,5,8
3.146128036,12,15,20
2.973127854,18,10,17
2.937517892,13,15,31
2.829303773,12,20,24
2.574031268,14,9,12
2.511883361,14,10,11
2.539076099,12,16,33
3.15896526,17,8,9
2.748188027,16,13,15
2.740362689,12,17,28
2.977723605,16,8,18
2.835056102,13,16,18
3.121231455,16,7,8
3.213252052,12,18,21
2.620136055,12,8,8
2.673941999,11,9,9
2.823474229,12,16,17
3.225050696,18,10,13
3.016615548,16,1,10
3.096910013,13,13,24
2.880813592,12,12,27
3.062205809,12,14,26
3.204662512,15,14,15
3.15896526,13,13,26
2.937016107,16,5,8
2.848189117,12,15,27
3,12,16,17
2.930439595,10,13,22
2.886490725,12,16,30
3,12,16,25
3.123524981,18,10,15
3.225825991,16,10,14
2.761175813,16,4,4
2.835690571,12,17,24
2.761175813,16,8,16
3.017033339,12,19,28
3.096910013,16,10,21
2.77815125,13,7,14
2.681241237,12,17,20
3,11,11,11
2.994756945,12,15,30
2.679427897,10,19,29
2.643452676,12,11,13
2.685741739,12,11,12
2.848189117,9,19,19
3.190331698,12,16,17
2.982271233,12,11,20
3,12,16,30
2.795880017,18,4,9
3.12904506,16,14,28
2.982723388,12,13,26
2.680335513,12,15,16
3.079543007,11,17,33
3.12904506,16,8,10
3.049992857,18,13,21
2.73479983,14,5,12
2.653212514,11,12,16
2.705007959,14,10,14
2.737987326,11,17,22
2.767897616,11,18,34
2.664641976,12,6,10
2.848189117,12,13,21
3.194791758,12,7,8
3.213252052,13,18,36
3.107888025,16,4,5
2.745074792,16,6,8
3.079181246,15,7,15
2.931966115,12,6,12
3.022428371,12,18,25
3,12,11,15
2.954242509,12,18,23
3.204662512,16,10,20
2.705863712,17,9,11
3.176091259,16,6,12
3.225825991,14,15,24
2.875061263,13,13,14
2.925827575,14,8,15
2.611723308,12,17,35
3.001733713,12,17,32
2.812913357,12,13,23
2.907411361,12,17,26
3.329804522,13,8,10
2.881384657,12,14,35
2.88592634,16,8,11
2.537819095,12,7,15
2.694605199,12,6,16
2.994317153,16,9,12
3.397940009,12,21,22
3.04060234,14,6,7
3.08350262,12,6,22
2.761175813,15,8,9
2.591064607,15,10,13
3.176091259,16,9,21
2.765668555,12,9,10
2.662757832,11,16,17
2.975431809,12,12,25
3.15896526,16,9,12
3.124830149,16,14,22
3.176091259,15,8,13
3.124830149,16,7,8
2.84509804,12,16,20
2.98811284,13,11,16
3.33485569,18,10,18
2.901458321,12,10,17
2.602059991,12,14,15
3.006466042,12,15,26
3.241546481,16,8,17
2.799340549,15,14,16
2.648360011,12,11,15
2.819543936,16,12,21
2.891537458,12,14,21
2.57634135,12,9,10
2.748188027,12,16,27
3.049992857,17,7,20
2.656098202,12,9,11
3.14176323,10,17,26
3.18723862,17,7,16
3.062205809,16,11,23
2.983175072,14,15,17
2.858537198,16,8,9
2.681241237,12,9,12
2.907411361,18,8,17
3.15896526,13,14,22
3.037824751,13,13,17
2.544068044,12,16,16
2.698970004,12,18,29
3.011147361,16,9,22
2.761175813,17,11,18
3.124830149,15,5,6
2.961421094,12,17,26
3.043362278,16,9,19
2.959041392,14,5,10
3,12,17,25
3.064457989,12,14,15
3.000434077,12,12,15
2.85308953,12,5,17
2.968015714,13,12,17
2.602059991,12,4,13
3.093771781,13,9,19
3.027349608,12,21,31
2.605305046,12,5,8
2.973127854,13,15,27
2.909556029,10,17,30
2.84509804,10,13,13
2.759667845,10,12,18
2.653212514,10,20,25
2.7930916,12,14,24
2.644438589,12,12,23
2.795880017,16,6,15
2.860936621,12,16,21
2.698970004,9,21,34
3,17,8,10
2.59439255,12,15,31
2.77815125,12,8,11
2.983175072,12,21,33
2.983175072,12,15,19
2.937016107,11,10,17
3.062205809,16,10,13
3.14176323,16,10,21
2.864511081,12,10,17
2.937016107,13,4,13
2.84509804,12,13,26
2.989004616,9,20,30
3.113943352,13,12,15
2.954242509,14,12,15
2.918554531,12,15,30
3,12,17,30
2.91750551,16,7,15
2.698970004,13,5,7
3.062581984,13,9,10
2.977723605,15,8,11
2.84509804,13,10,14
3.23299611,18,7,13
2.726727209,12,5,6
3.301897717,18,10,10
2.949390007,14,9,17
3.488268615,13,11,15
3.18723862,17,10,23
2.705863712,12,1,2
3.131618664,17,13,22
3.05804623,12,21,29
2.983175072,12,16,24
3.096910013,12,19,39
2.995635195,12,16,19
2.956648579,12,17,21
2.966610987,12,18,18
3.192846115,12,17,27
3.117933835,10,14,18
2.965201701,14,8,24
2.943988875,18,1,10
2.903089987,13,14,15
3.020775488,14,6,16
2.740362689,12,4,5
3.075546961,17,4,6
2.765668555,14,10,16
3.079181246,14,5,7
2.901458321,16,11,16
3.137037455,18,8,21
2.556302501,13,11,12
3.103803721,12,11,23
3.262925469,12,16,17
2.958563883,12,14,19
3.242044239,18,9,19
2.716003344,16,8,9
2.907411361,16,6,13
3.329804522,16,11,13
2.840106094,15,9,12
2.968949681,16,4,5
2.909556029,16,11,14
2.937517892,14,16,30
3.15896526,12,14,23
2.698970004,14,12,12
3.14113609,18,12,14
2.722633923,18,5,14
2.944975908,12,4,18
3.011147361,12,11,22
3.08350262,12,11,23
3.209515015,15,8,13
3.265525335,16,11,13
3.204662512,16,12,14
3,13,6,7
2.867467488,12,7,11
3.230193379,12,10,11
3.230193379,12,11,20
3.010723865,14,6,11
3.044147621,12,12,17
2.795880017,11,1,2
2.857332496,13,1,8
2.931966115,12,19,29
3.096910013,12,12,14
3.053078443,18,4,17
2.954242509,12,6,7
3.284205068,17,6,13
2.983175072,15,8,10
3.272769587,11,22,25
3.196728723,12,5,8
2.973127854,14,11,18
2.954242509,16,8,17
2.945468585,12,15,28
3.23299611,18,12,24
3.100370545,12,19,34
2.875639937,12,9,16
3.040206628,11,12,24
3.000434077,13,11,22
3.062205809,15,11,23
3,12,15,31
3.096910013,12,16,19
2.932980822,12,18,21
3.083144143,12,13,16
2.971739591,16,12,19
2.95616843,13,7,8
2.940516485,15,7,11
3.079181246,9,18,18
3.100715087,17,1,10
2.977723605,12,14,16
2.06069784,12,9,12
2.828015064,17,6,10
3.035029282,15,17,27
3.024485668,14,13,27
2.903089987,12,20,32
2.567026366,18,11,12
3.284205068,16,14,27
2.931966115,12,17,32
2.936513742,12,15,21
3.038222638,16,15,28
3.010723865,16,9,13
2.929418926,12,11,13
2.828015064,12,17,27
2.903089987,14,12,24
3.020775488,16,7,10
2.946452265,17,9,20
2.903089987,16,10,12
3.079181246,17,9,18
2.822168079,12,8,18
3.045714059,12,18,36
2.929418926,16,8,16
3,12,6,18
2.942008053,12,8,12
3.079904468,16,10,12
2.823474229,12,10,12
2.965201701,16,15,26
2.896526217,12,10,20
2.977723605,10,23,28
3.15896526,12,9,25
2.937517892,12,11,23
2.795880017,9,17,22
2.832508913,12,13,22
2.840733235,12,11,30
2.942008053,12,16,18
3.363235804,17,8,10
3.07773118,14,10,14
2.84509804,12,13,21
2.857935265,12,8,16
3.176091259,13,13,15
3.021189299,15,4,13
2.903632516,14,6,16
2.806179974,12,7,10
3.078456818,16,7,16
2.591064607,12,4,6
2.948901761,12,12,23
3.031812271,12,19,39
3.051923916,12,17,29
2.875061263,15,1,2
2.931966115,14,6,20
2.720159303,13,5,6
3.042969073,12,11,15
2.742725131,12,11,21
2.903089987,12,10,11
3.14113609,13,8,15
2.62838893,17,8,8
2.707570176,11,13,17
2.568201724,12,13,15
2.77524626,12,16,30
2.604226053,12,9,13
2.621176282,12,12,14
3.05422991,16,13,23
2.833147112,12,18,33
2.977723605,11,16,21
2.77815125,10,20,27
2.820201459,13,8,14
2.966141733,12,12,21
2.740362689,12,14,27
2.782472624,11,13,24
2.62838893,10,7,8
2.531478917,14,4,5
2.840106094,12,16,25
2.759667845,12,11,20
2.756636108,9,15,25
2.912222057,16,11,20
2.994317153,12,11,16
2.789580712,12,16,34
3.011147361,16,12,13
2.907411361,12,4,7
2.907411361,17,8,8
2.896526217,12,13,18
2.929418926,12,6,8
2.954242509,12,10,29
3.151676231,12,19,39
2.414973348,12,21,21
2.820857989,14,7,9
2.749736316,13,4,5
2.749736316,12,11,16
2.552668216,13,5,7
3.003891166,16,11,23
3.15896526,12,17,34
2.813580989,11,11,13
2.875061263,12,14,19
2.877371346,12,13,27
2.84509804,12,17,26
2.701567985,11,11,13
2.971739591,12,14,29
2.79518459,10,18,28
2.875061263,12,4,14
2.954242509,14,1,9
2.73239376,10,12,22
2.807535028,13,9,12
2.602059991,15,6,16
2.954242509,10,15,29
2.710117365,16,8,18
2.951337519,18,7,17
3.107888025,18,7,12
2.685741739,12,10,19
2.511883361,12,11,16
2.88592634,12,16,21
2.790988475,14,6,14
3.017033339,12,16,33
2.875639937,12,15,19
2.579783597,12,15,26
2.477121255,12,16,19
2.876794976,10,21,28
3.027349608,16,10,21
3.029383778,12,13,14
3.196728723,18,7,15
2.812913357,10,14,23
2.84509804,12,15,22
2.693726949,12,16,20
2.949390007,12,4,12
2.716003344,10,15,27
2.949877704,12,16,32
2.755874856,12,11,23
3.159567193,15,11,12
2.682145076,12,14,16
2.698970004,12,21,33
3.168202747,16,15,30
2.904715545,13,4,5
2.983175072,16,7,9
3,12,9,14
2.77815125,16,5,9
2.653212514,11,12,14
2.798650645,12,6,7
2.691965103,12,15,17
3.19368103,17,7,9
2.552668216,14,6,9
2.982271233,13,14,27
2.752816431,16,5,7
2.682145076,12,9,11
3.15896526,16,8,18
2.809559715,12,11,14
2.896526217,11,15,21
2.808885867,12,11,16
2.678518379,12,9,12
2.822168079,16,10,19
2.716003344,16,6,7
3.079904468,13,10,13
2.730782276,12,12,22
2.941014244,12,12,24
3,12,17,35
